,Type 1 lines losses (W),Type 2 lines losses (W),Type 3 lines losses (W),Type 4 lines losses (W),Type 5 lines losses (W),Total lines losses (W)
0,0.4768044,0.0042645280891424,1.0908333000590036,0.018489194098604868,0.017144355299999994,1.1737613229950088
0,-0.003232776,0.004263514499278,9.096719999999999e-10,0.018486211246789397,-0.007534366700000002,0.026789448151254797
0,-0.003232776,0.004263514499278,9.096719999999999e-10,0.018486211246789397,-0.007534366700000002,0.026789448151254797
0,-0.003232776,0.004263514499278,9.096719999999999e-10,0.018486211246789397,-0.007534366700000002,0.026789448151254797
0,-0.003232776,0.004263514499278,9.096719999999999e-10,0.018486211246789397,-0.007534366700000002,0.026789448151254797
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
0,-0.003232818,-5.057542e-10,4.892878000000002e-10,2.5190269999999996e-09,-0.008080840599999996,-6.753383548000002e-08
