,P1 (kW),P2 (kW),P3 (kW)
0,13.722,15.686,14.641
0,12.034,11.518,10.805
0,16.803,18.959,16.638
0,14.174,17.183,15.368
0,17.341,19.814,17.006
0,15.28,16.982,13.651
0,17.392,19.907,17.057
0,15.545,17.963,13.663
0,15.21,17.58,12.751
0,12.813,13.705,10.006
0,10.714,12.735,9.518
0,14.79,17.761,12.48
0,10.321,12.375,9.225
0,11.057,12.922,9.114
0,9.491,12.096,9.015
0,6.498,9.399,7.216
0,5.883,10.19,7.228
0,8.436,13.307,11.787
0,7.099,11.264,9.887
0,8.219,13.336,10.997
0,6.612,10.599,9.065
0,3.486,5.595,4.818
0,4.589,6.669,7.102
0,5.492,8.455,7.957
0,5.113,7.707,7.598
0,4.632,6.404,7.52
0,3.319,3.851,6.183
0,1.986,2.818,3.147
0,1.463,1.564,2.848
0,1.256,1.35,2.437
0,1.765,1.871,3.463
0,5.021,3.493,5.136
0,4.201,2.662,3.482
0,4.118,2.615,3.423
0,3.927,2.376,3.239
0,4.037,2.428,3.288
0,4.016,2.418,3.277
0,4.043,2.433,3.298
0,4.048,2.433,3.293
0,4.037,2.428,3.288
0,4.037,2.428,3.288
0,1.248,0.901,1.455
0,4.027,2.423,3.282
0,1.206,0.849,1.34
0,0.82,0.826,1.647
0,0.826,0.831,1.657
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
