,Total line losses (W)
0,-1.3979526757999997e-08
0,80.33629999226358
0,80.51291999601368
0,80.64370999723432
0,80.51310999601286
0,80.51304000257613
0,79.99136999269264
0,81.03608999487992
0,62.824159998005754
0,80.5010700026462
0,80.51302999399707
0,80.33894999921753
0,80.7744100017239
0,80.51320000124457
0,80.51303999674589
0,4.9371588012695655
0,5.971943799951874
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,8.743420500588416
0,148.58432099223938
0,147.65145199783854
0,147.41029099893143
0,17.677417995682728
0,155.98301939553156
0,79.83970810460852
0,154.6275903962696
0,144.76713350701212
0,153.77987750289873
0,154.09332159329836
0,119.27705880113176
0,27.61089299410546
0,16.094844299384828
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,34.01040319681198
0,40.91326199901832
0,68.99153200034677
0,46.54293599858972
0,26.389433002590618
0,34.835594004762065
0,32.348273807468736
0,30.235344003236104
0,96.21402900082965
0,90.02149399378115
0,93.96477700616782
0,93.60262299816142
0,93.75552399936083
0,74.57286759978336
0,95.44334900049462
0,93.4516659993758
0,93.83985800184894
0,94.08210500055296
0,94.98584600297416
0,95.34653899587231
0,30.332052999017094
0,30.012960995972694
0,29.949469008752025
0,30.23522900417564
0,30.330903996348997
0,30.330931999826664
0,30.1399410024324
0,11.740481196255201
0,9.732507303144622
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
0,-1.3979526757999997e-08
